age,_wbr,_wb,_wd,_brw,_brb,_brd,_bw,_bbr,_bd
0,.1286,.0044,.0166,.0882,.0262,.0241,.0338,.2627,.0136
1,.13072,.00458,.01356,.08654,.02698,.0197,.03258,.26726,.01128
2,.13284,.00476,.01052,.08488,.02776,.0153,.03136,.27182,.00896
3,.13496,.00494,.00748,.08322,.02854,.0109,.03014,.27638,.00664
4,.13708,.00512,.00444,.08156,.02932,.0065,.02892,.28094,.00432
5,.1392,.0053,.0014,.0799,.0301,.0021,.0277,.2855,.002
6,.13986,.00536,.00146,.07918,.03074,.00224,.02756,.28564,.0022
7,.14052,.00542,.00152,.07846,.03138,.00238,.02742,.28578,.0024
8,.14118,.00548,.00158,.07774,.03202,.00252,.02728,.28592,.0026
9,.14184,.00554,.00164,.07702,.03266,.00266,.02714,.28606,.0028
10,.1425,.0056,.0017,.0763,.0333,.0028,.027,.2862,.003
11,.14214,.00562,.00244,.07642,.03406,.00456,.02638,.2849,.00474
12,.14178,.00564,.00318,.07654,.03482,.00632,.02576,.2836,.00648
13,.14142,.00566,.00392,.07666,.03558,.00808,.02514,.2823,.00822
14,.14106,.00568,.00466,.07678,.03634,.00984,.02452,.281,.00996
15,.1407,.0057,.0054,.0769,.0371,.0116,.0239,.2797,.0117
16,.13788,.00578,.00578,.07688,.03734,.01232,.02406,.2746,.01228
17,.13506,.00586,.00616,.07686,.03758,.01304,.02422,.2695,.01286
18,.13224,.00594,.00654,.07684,.03782,.01376,.02438,.2644,.01344
19,.12942,.00602,.00692,.07682,.03806,.01448,.02454,.2593,.01402
20,.1266,.0061,.0073,.0768,.0383,.0152,.0247,.2542,.0146
21,.12394,.00606,.0073,.0766,.0382,.01518,.02506,.2508,.01456
22,.12128,.00602,.0073,.0764,.0381,.01516,.02542,.2474,.01452
23,.11862,.00598,.0073,.0762,.038,.01514,.02578,.244,.01448
24,.11596,.00594,.0073,.076,.0379,.01512,.02614,.2406,.01444
25,.1133,.0059,.0073,.0758,.0378,.0151,.0265,.2372,.0144
26,.11282,.00602,.00752,.0753,.03796,.0154,.02656,.2359,.01482
27,.11234,.00614,.00774,.0748,.03812,.0157,.02662,.2346,.01524
28,.11186,.00626,.00796,.0743,.03828,.016,.02668,.2333,.01566
29,.11138,.00638,.00818,.0738,.03844,.0163,.02674,.232,.01608
30,.1109,.0065,.0084,.0733,.0386,.0166,.0268,.2307,.0165
31,.1103,.00646,.00884,.0738,.03882,.01718,.02666,.23148,.01732
32,.1097,.00642,.00928,.0743,.03904,.01776,.02652,.23226,.01814
33,.1091,.00638,.00972,.0748,.03926,.01834,.02638,.23304,.01896
34,.1085,.00634,.01016,.0753,.03948,.01892,.02624,.23382,.01978
35,.1079,.0063,.0106,.0758,.0397,.0195,.0261,.2346,.0206
36,.10776,.0063,.0114,.07566,.03982,.0205,.02588,.23294,.022
37,.10762,.0063,.0122,.07552,.03994,.0215,.02566,.23128,.0234
38,.10748,.0063,.013,.07538,.04006,.0225,.02544,.22962,.0248
39,.10734,.0063,.0138,.07524,.04018,.0235,.02522,.22796,.0262
40,.1072,.0063,.0146,.0751,.0403,.0245,.025,.2263,.0276
41,.10644,.00628,.01598,.07558,.0406,.02624,.02498,.22692,.02988
42,.10568,.00626,.01736,.07606,.0409,.02798,.02496,.22754,.03216
43,.10492,.00624,.01874,.07654,.0412,.02972,.02494,.22816,.03444
44,.10416,.00622,.02012,.07702,.0415,.03146,.02492,.22878,.03672
45,.1034,.0062,.0215,.0775,.0418,.0332,.0249,.2294,.039
46,.10144,.00606,.02362,.07736,.04182,.0357,.02516,.22808,.04234
47,.09948,.00592,.02574,.07722,.04184,.0382,.02542,.22676,.04568
48,.09752,.00578,.02786,.07708,.04186,.0407,.02568,.22544,.04902
49,.09556,.00564,.02998,.07694,.04188,.0432,.02594,.22412,.05236
50,.0936,.0055,.0321,.0768,.0419,.0457,.0262,.2228,.0557
51,.0927,.00542,.03512,.07682,.04168,.0491,.02584,.22278,.05996
52,.0918,.00534,.03814,.07684,.04146,.0525,.02548,.22276,.06422
53,.0909,.00526,.04116,.07686,.04124,.0559,.02512,.22274,.06848
54,.09,.00518,.04418,.07688,.04102,.0593,.02476,.22272,.07274
55,.0891,.0051,.0472,.0769,.0408,.0627,.0244,.2227,.077
56,.08818,.005,.05156,.07698,.0405,.06736,.0242,.21966,.0824
57,.08726,.0049,.05592,.07706,.0402,.07202,.024,.21662,.0878
58,.08634,.0048,.06028,.07714,.0399,.07668,.0238,.21358,.0932
59,.08542,.0047,.06464,.07722,.0396,.08134,.0236,.21054,.0986
60,.0845,.0046,.069,.0773,.0393,.086,.0234,.2075,.104
61,.08434,.00456,.075,.0773,.0391,.0924,.02316,.20498,.11084
62,.08418,.00452,.081,.0773,.0389,.0988,.02292,.20246,.11768
63,.08402,.00448,.087,.0773,.0387,.1052,.02268,.19994,.12452
64,.08386,.00444,.093,.0773,.0385,.1116,.02244,.19742,.13136
65,.0837,.0044,.099,.0773,.0383,.118,.0222,.1949,.1382
66,.0818,.00436,.10764,.07724,.03828,.12676,.0225,.19538,.14712
67,.0799,.00432,.11628,.07718,.03826,.13552,.0228,.19586,.15604
68,.078,.00428,.12492,.07712,.03824,.14428,.0231,.19634,.16496
69,.0761,.00424,.13356,.07706,.03822,.15304,.0234,.19682,.17388
70,.0742,.0042,.1422,.077,.0382,.1618,.0237,.1973,.1828
71,.0746,.0041,.15444,.0772,.0379,.17396,.02368,.19486,.19382
72,.075,.004,.16668,.0774,.0376,.18612,.02366,.19242,.20484
73,.0754,.0039,.17892,.0776,.0373,.19828,.02364,.18998,.21586
74,.0758,.0038,.19116,.0778,.037,.21044,.02362,.18754,.22688
75,.0762,.0037,.2034,.078,.0367,.2226,.0236,.1851,.2379
76,.06096,.00296,.36272,.0624,.02936,.37808,.01888,.14808,.39032
77,.04572,.00222,.52204,.0468,.02202,.53356,.01416,.11106,.54274
78,.03048,.00148,.68136,.0312,.01468,.68904,.00944,.07404,.69516
79,.01524,.00074,.84068,.0156,.00734,.84452,.00472,.03702,.84758
80,0,0,1,0,0,1,0,0,1
